dataset,instance,solver,status,makespan,time_ms,time_limit_s,workers,seed,starts
sm_j20,PSP4.SCH,solver_optimal,feasible_not_proven,47,30026.2,30.00,8,,
sm_j20,PSP1.SCH,solver_optimal,feasible_not_proven,51,30037.4,30.00,8,,
sm_j20,PSP5.SCH,solver_optimal,feasible_not_proven,59,30041.8,30.00,8,,
sm_j20,PSP7.SCH,solver_optimal,feasible_not_proven,59,30038.9,30.00,8,,
sm_j20,PSP2.SCH,solver_optimal,feasible_not_proven,68,30053.2,30.00,8,,
sm_j20,PSP3.SCH,solver_optimal,feasible_not_proven,81,30053.2,30.00,8,,
sm_j20,PSP6.SCH,solver_optimal,feasible_not_proven,78,30046.4,30.00,8,,
sm_j20,PSP8.SCH,solver_optimal,feasible_not_proven,67,30038.9,30.00,8,,
sm_j20,PSP9.SCH,solver_optimal,feasible_not_proven,77,30053.1,30.00,8,,
sm_j20,PSP10.SCH,solver_optimal,feasible_not_proven,57,30047.5,30.00,8,,
sm_j20,PSP11.SCH,solver_optimal,feasible_not_proven,47,30044.3,30.00,8,,
sm_j20,PSP13.SCH,solver_optimal,feasible_not_proven,49,30040.5,30.00,8,,
sm_j20,PSP14.SCH,solver_optimal,feasible_not_proven,51,30041.2,30.00,8,,
sm_j20,PSP12.SCH,solver_optimal,feasible_not_proven,41,30045.9,30.00,8,,
sm_j20,PSP16.SCH,solver_optimal,feasible_not_proven,44,30040.4,30.00,8,,
sm_j20,PSP15.SCH,solver_optimal,feasible_not_proven,62,30052.1,30.00,8,,
sm_j20,PSP24.SCH,solver_optimal,feasible_optimal,34,35.2,30.00,8,,
sm_j20,PSP23.SCH,solver_optimal,feasible_optimal,59,48.1,30.00,8,,
sm_j20,PSP26.SCH,solver_optimal,feasible_optimal,44,40.6,30.00,8,,
sm_j20,PSP17.SCH,solver_optimal,feasible_not_proven,37,30035.8,30.00,8,,
sm_j20,PSP22.SCH,solver_optimal,feasible_not_proven,24,30034.4,30.00,8,,
sm_j20,PSP21.SCH,solver_optimal,feasible_not_proven,28,30036.5,30.00,8,,
sm_j20,PSP18.SCH,solver_optimal,feasible_not_proven,32,30050.2,30.00,8,,
sm_j20,PSP19.SCH,solver_optimal,feasible_not_proven,36,30042.7,30.00,8,,
sm_j20,PSP20.SCH,solver_optimal,feasible_not_proven,45,30053.9,30.00,8,,
sm_j20,PSP25.SCH,solver_optimal,feasible_not_proven,28,30047.9,30.00,8,,
sm_j20,PSP27.SCH,solver_optimal,feasible_not_proven,36,30038.7,30.00,8,,
sm_j20,PSP28.SCH,solver_optimal,feasible_not_proven,29,30053.7,30.00,8,,
sm_j20,PSP30.SCH,solver_optimal,feasible_not_proven,38,30041.4,30.00,8,,
sm_j20,PSP29.SCH,solver_optimal,feasible_not_proven,33,30043.8,30.00,8,,
sm_j20,PSP31.SCH,solver_optimal,feasible_not_proven,96,30058.2,30.00,8,,
sm_j20,PSP32.SCH,solver_optimal,feasible_not_proven,69,30063.4,30.00,8,,
sm_j20,PSP33.SCH,solver_optimal,feasible_not_proven,102,30071.1,30.00,8,,
sm_j20,PSP34.SCH,solver_optimal,feasible_not_proven,94,30063.3,30.00,8,,
sm_j20,PSP35.SCH,solver_optimal,feasible_not_proven,105,30087.3,30.00,8,,
sm_j20,PSP37.SCH,solver_optimal,feasible_not_proven,87,30071.8,30.00,8,,
sm_j20,PSP36.SCH,solver_optimal,feasible_not_proven,77,30079.2,30.00,8,,
sm_j20,PSP38.SCH,solver_optimal,feasible_not_proven,106,30076.2,30.00,8,,
sm_j20,PSP39.SCH,solver_optimal,feasible_not_proven,80,30066.6,30.00,8,,
sm_j20,PSP40.SCH,solver_optimal,feasible_not_proven,96,30070.3,30.00,8,,
sm_j20,PSP41.SCH,solver_optimal,feasible_not_proven,57,30069.3,30.00,8,,
sm_j20,PSP42.SCH,solver_optimal,feasible_not_proven,55,30053.2,30.00,8,,
sm_j20,PSP43.SCH,solver_optimal,feasible_not_proven,41,30042.4,30.00,8,,
sm_j20,PSP44.SCH,solver_optimal,feasible_not_proven,40,30071.1,30.00,8,,
sm_j20,PSP45.SCH,solver_optimal,feasible_not_proven,32,30073.0,30.00,8,,
sm_j20,PSP47.SCH,solver_optimal,feasible_not_proven,47,30065.7,30.00,8,,
sm_j20,PSP48.SCH,solver_optimal,feasible_not_proven,46,30058.1,30.00,8,,
sm_j20,PSP46.SCH,solver_optimal,feasible_not_proven,47,30077.5,30.00,8,,
sm_j20,PSP49.SCH,solver_optimal,feasible_not_proven,38,30051.4,30.00,8,,
sm_j20,PSP50.SCH,solver_optimal,feasible_not_proven,45,30049.1,30.00,8,,
sm_j20,PSP53.SCH,solver_optimal,feasible_optimal,40,45.0,30.00,8,,
sm_j20,PSP57.SCH,solver_optimal,feasible_optimal,45,44.9,30.00,8,,
sm_j20,PSP51.SCH,solver_optimal,feasible_not_proven,30,30050.1,30.00,8,,
sm_j20,PSP59.SCH,solver_optimal,feasible_optimal,33,38.3,30.00,8,,
sm_j20,PSP60.SCH,solver_optimal,feasible_optimal,27,40.8,30.00,8,,
sm_j20,PSP52.SCH,solver_optimal,feasible_not_proven,25,30035.5,30.00,8,,
sm_j20,PSP54.SCH,solver_optimal,feasible_not_proven,31,30039.2,30.00,8,,
sm_j20,PSP56.SCH,solver_optimal,feasible_not_proven,35,30045.0,30.00,8,,
sm_j20,PSP55.SCH,solver_optimal,feasible_not_proven,39,30048.9,30.00,8,,
sm_j20,PSP58.SCH,solver_optimal,feasible_not_proven,46,30050.1,30.00,8,,
